id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7056605,Atlantic at Funkey,36975376,Adrian And Nada,,Ward 54,-33.96237,18.37711,Entire home/apt,3195,1,1,2018-01-06,0.07,6,257
7057133,Penelope at Funkey,36975376,Adrian And Nada,,Ward 54,-33.96302,18.37581,Entire home/apt,3853,1,3,2018-03-31,0.17,6,303
7057255,Bantry Ravine at Funkey 4B,36975376,Adrian And Nada,,Ward 54,-33.96078,18.37697,Entire home/apt,11998,1,0,,,6,311
7060327,"Stylish in City Centre, Free Wifi.",26612543,Steve,,Ward 115,-33.92412,18.42226,Entire home/apt,905,5,28,2019-01-29,0.66,5,42
7060478,Beach House in Melkbosstrand,37024549,Shontell,,Ward 23,-33.72339,18.4445,Entire home/apt,5002,4,1,2018-01-06,0.07,2,364
7060628,Francolin's Rest,37025098,Lynn,,Ward 71,-34.04273,18.43411,Entire home/apt,2002,6,0,,,2,72
7062843,Table Mountain Home with Ocean View,37034052,Sally,,Ward 54,-33.95703,18.3878,Entire home/apt,4004,4,26,2019-02-03,0.60,1,224
7062958,"Industrial Loft in Bo Kaap, Cape Town City Centre",37034673,Morne,,Ward 77,-33.92165,18.41446,Entire home/apt,1056,2,7,2017-04-13,0.18,1,0
7063221,Sunny 2 bed garden flat on mountain,37035703,Michael,,Ward 77,-33.94213,18.42822,Entire home/apt,370,2,15,2017-01-12,0.38,2,0
7063419,Francolin's Rest - Poppy/Green Room,37025098,Lynn,,Ward 71,-34.04222,18.43321,Private room,302,1,2,2015-09-30,0.05,2,287
7064200,C'est La Vie Self Catering Apart.,37040132,Jacques,,Ward 23,-33.69581,18.44079,Entire home/apt,785,2,0,,,1,365
7075401,Brynbrook - Self Catering Apartment,17086090,Iris,,Ward 69,-34.1027,18.38955,Entire home/apt,494,3,0,,,2,360
7088992,Grace Cottage- Spacious flat in quiet hood,36697856,Sam,,Ward 58,-33.95725,18.49248,Entire home/apt,439,1,39,2019-01-27,1.61,1,148
7091173,Contemporary Designer Studio in Cape Town City Center,2349400,Katrin,,Ward 115,-33.92438,18.42227,Entire home/apt,1001,1,65,2019-01-10,1.54,3,306
7092425,Charming Apartment in City Bowl,5198269,Marj,,Ward 77,-33.93411,18.41707,Entire home/apt,603,2,70,2019-01-07,1.63,1,142
7096071,best view-campsbay,32889138,Dr.Rainer,,Ward 54,-33.95498,18.38634,Private room,343,2,33,2019-02-07,0.85,2,130
7096708,"2 Bed Spacious, sunny and apartment",37198400,Justin,,Ward 54,-33.91682,18.39073,Entire home/apt,1001,5,1,2016-01-09,0.03,1,0
7098927,Beste Aussicht in zentraler Lage!,1980322,Aurélie,,Ward 77,-33.94141,18.42454,Private room,329,1,6,2016-03-02,0.14,1,248
7099179,"Spectacular view, safe & modern in Sea Point",14365166,Fabian,,Ward 54,-33.91547,18.39408,Entire home/apt,2496,4,5,2018-12-30,0.12,1,0
7099839,"TinTin's ""Roof-Top"" (丁丁的屋顶)",37210793,Tony,,Ward 57,-33.93035,18.45064,Entire home/apt,521,2,118,2019-02-11,2.95,2,60
7102167,City Loft Cape Town,7539043,Nazley,,Ward 115,-33.92249,18.41585,Entire home/apt,1728,2,7,2016-12-12,0.18,6,332
7103960,Sunny Holiday Home,36892712,Jayne,,Ward 61,-34.14253,18.32832,Entire home/apt,699,2,14,2018-04-01,0.36,2,329
7118175,Beautiful Constantia Family Home,29774754,Miron,,Ward 62,-34.01677,18.43867,Entire home/apt,6006,3,9,2018-12-29,0.22,1,352
7119153,Large home in top Security Estate,37294633,Geoff,,Ward 74,-34.04499,18.36643,Entire home/apt,5005,1,2,2016-01-05,0.05,1,0
7120142,Clifton 3rd Beach House,31582808,Julian,,Ward 54,-33.9395,18.37755,Entire home/apt,11998,2,46,2018-12-22,1.07,1,295
7122708,Lodge in the Sky,37310193,Jani & Paddy,,Ward 77,-33.93079,18.40461,Entire home/apt,795,2,247,2019-02-06,5.67,5,230
7124577,Bannockburn 202 - Waterfront Village,8770031,Pumie,,Ward 115,-33.90845,18.42156,Entire home/apt,2496,1,0,,,6,275
7126174,100 Geneva,37206021,Nox,,Ward 54,-33.94804,18.38924,Entire home/apt,10503,1,1,2015-11-08,0.03,19,0
7126177,17 Geneva - Lower,37206021,Nox,,Ward 54,-33.95383,18.37898,Entire home/apt,2893,1,2,2016-03-10,0.05,19,0
7126178,17 Geneva - Middle,37206021,Nox,,Ward 54,-33.95398,18.37942,Entire home/apt,3606,1,1,2015-11-08,0.03,19,0
7126179,17 Geneva - Upper,37206021,Nox,,Ward 54,-33.95227,18.3803,Entire home/apt,4498,1,0,,,19,0
7126181,270 Degrees,37206021,Nox,,Ward 54,-33.95517,18.38423,Entire home/apt,3894,1,2,2016-03-24,0.05,19,0
7126183,Atlantic Vistas,37206021,Nox,,Ward 115,-33.90154,18.40294,Entire home/apt,4895,1,0,,,19,0
7126189,Cape Blue,37206021,Nox,,Ward 54,-33.95871,18.38023,Entire home/apt,11998,1,0,,,19,0
7126190,Camps Bay Terrace Lodge,37206021,Nox,,Ward 54,-33.95667,18.37839,Entire home/apt,7500,1,0,,,19,0
7126191,Camps Bay Terrace Palm Suite,37206021,Nox,,Ward 54,-33.98015,18.36446,Entire home/apt,4895,1,0,,,19,0
7126195,Camps Bay Terrace Suite,37206021,Nox,,Ward 54,-33.95648,18.38586,Entire home/apt,4498,1,0,,,19,0
7126196,Dunmore Place,37206021,Nox,,Ward 54,-33.93362,18.37819,Entire home/apt,4895,1,0,,,19,0
7126197,Gryphon House,37206021,Nox,,Ward 54,-33.96064,18.38269,Entire home/apt,8200,1,0,,,19,0
7126199,Houghton Steps,37206021,Nox,,Ward 54,-33.95969,18.37737,Entire home/apt,8803,1,0,,,19,0
7126200,La Plantacion,37206021,Nox,,Ward 54,-33.96258,18.3811,Entire home/apt,3894,1,0,,,19,0
7126201,Medburn Views Villa,37206021,Nox,,Ward 54,-33.95179,18.38538,Entire home/apt,14000,1,0,,,19,0
7126202,La Fleur,37206021,Nox,,Ward 54,-33.95502,18.38274,Entire home/apt,3894,1,0,,,19,0
7126203,Seasonsfind - The Bay,37206021,Nox,,Ward 54,-33.94925,18.38022,Entire home/apt,2893,1,1,2016-02-13,0.03,19,0
7126210,Seasonsfind - The Sunset,37206021,Nox,,Ward 54,-33.94887,18.37837,Entire home/apt,4895,1,2,2016-09-10,0.05,19,324
7126212,Serendipity,37206021,Nox,,Ward 54,-33.94795,18.38941,Entire home/apt,9502,1,0,,,19,0
7128670,Unique Hillside Selfcatering LogCab,37337910,Loevensteyn Guesthouse,,Ward 70,-33.8818,18.60689,Private room,1357,1,0,,,2,365
7137090,Victorian Semi in trendy Woodstock,37382748,Eliné,,Ward 57,-33.93467,18.45357,Private room,274,2,24,2019-01-28,0.56,2,291
7137282,4 Bed Chic Seaview Villa (FamilyFriendly),37382679,Simone,,Ward 54,-33.92477,18.38288,Entire home/apt,4004,3,3,2018-12-14,0.08,2,360
7137532,Avocet Cape Town Villa Guest House,79694,Harriet,,Ward 113,-33.83374,18.49553,Private room,548,1,1,2015-08-04,0.02,8,365
7139366,Spacious Double Room with ensuite,37201592,Helen,,Ward 58,-33.98208,18.47343,Private room,452,1,13,2018-10-03,0.46,1,297
7146884,Pin Oak garden suite.,22368321,Shelagh,,Ward 58,-33.97074,18.4875,Entire home/apt,823,2,10,2018-11-14,0.26,2,174
7153776,3 BEDROOMED HOUSE - KOMMETJIE,37464586,Chrisi,,Ward 61,-34.13823,18.33725,Entire home/apt,1056,3,0,,,1,167
7156219,upmarket executive studio,34170435,Caroline,,Ward 77,-33.93676,18.42181,Entire home/apt,672,4,82,2019-01-12,1.94,2,228
7158019,Secure 4 star unit at Blouberg,37022438,Paul,,Ward 23,-33.81453,18.47722,Private room,494,5,3,2018-06-30,0.08,3,348
7158058,Camps Bay House,35542114,Yvonne,,Ward 54,-33.95721,18.37932,Entire home/apt,7007,7,0,,,1,0
7170470,Protea Cottage,35220311,Dammon And Nomazizi,,Ward 58,-33.99882,18.4734,Entire home/apt,357,1,110,2018-12-26,2.56,2,339
7170893,DCS  Accommodation Stellenberg,37550143,Eric,,Ward 21,-33.8718,18.65582,Entire home/apt,919,1,0,,,4,309
7172381,Studio in Camps Bay for two,37492390,Christina,,Ward 54,-33.95415,18.38231,Private room,1042,3,42,2019-02-09,1.14,2,339
7173456,Dorset Cottage,37574035,Roger,,Ward 73,-34.03974,18.46222,Entire home/apt,603,2,1,2018-12-01,0.41,1,164
7177768,Infinity Unit 303 - Bloubergholiday,37601370,Pierre,,Ward 23,-33.81049,18.46903,Entire home/apt,1001,2,2,2019-02-04,0.08,5,338
